   PID TTY          TIME CMD
     1 ?        00:56:51 systemd
     2 ?        00:00:03 kthreadd
     4 ?        00:00:00 kworker/0:0H
     6 ?        00:00:13 ksoftirqd/0
     7 ?        00:00:01 migration/0
     8 ?        00:00:00 rcu_bh
     9 ?        00:15:56 rcu_sched
    10 ?        00:00:00 lru-add-drain
    11 ?        00:00:05 watchdog/0
    12 ?        00:00:05 watchdog/1
    13 ?        00:00:01 migration/1
    14 ?        00:00:02 ksoftirqd/1
    16 ?        00:00:00 kworker/1:0H
    17 ?        00:00:04 watchdog/2
    18 ?        00:00:00 migration/2
    19 ?        00:00:03 ksoftirqd/2
    21 ?        00:00:00 kworker/2:0H
    22 ?        00:00:05 watchdog/3
    23 ?        00:00:00 migration/3
    24 ?        00:00:03 ksoftirqd/3
    26 ?        00:00:00 kworker/3:0H
    27 ?        00:00:05 watchdog/4
    28 ?        00:00:00 migration/4
    29 ?        00:00:03 ksoftirqd/4
    31 ?        00:00:00 kworker/4:0H
    32 ?        00:00:03 watchdog/5
    33 ?        00:00:00 migration/5
    34 ?        00:00:01 ksoftirqd/5
    36 ?        00:00:00 kworker/5:0H
    37 ?        00:00:05 watchdog/6
    38 ?        00:00:00 migration/6
    39 ?        00:00:02 ksoftirqd/6
    41 ?        00:00:00 kworker/6:0H
    42 ?        00:00:04 watchdog/7
    43 ?        00:00:00 migration/7
    44 ?        00:00:02 ksoftirqd/7
    46 ?        00:00:00 kworker/7:0H
    47 ?        00:00:04 watchdog/8
    48 ?        00:00:02 migration/8
    49 ?        00:00:03 ksoftirqd/8
    51 ?        00:00:00 kworker/8:0H
    52 ?        00:00:04 watchdog/9
    53 ?        00:00:02 migration/9
    54 ?        00:00:02 ksoftirqd/9
    56 ?        00:00:00 kworker/9:0H
    57 ?        00:00:04 watchdog/10
    58 ?        00:00:02 migration/10
    59 ?        00:00:02 ksoftirqd/10
    61 ?        00:00:00 kworker/10:0H
    62 ?        00:00:04 watchdog/11
    63 ?        00:00:02 migration/11
    64 ?        00:00:01 ksoftirqd/11
    66 ?        00:00:00 kworker/11:0H
    67 ?        00:00:04 watchdog/12
    68 ?        00:00:02 migration/12
    69 ?        00:00:01 ksoftirqd/12
    71 ?        00:00:00 kworker/12:0H
    72 ?        00:00:03 watchdog/13
    73 ?        00:00:02 migration/13
    74 ?        00:00:01 ksoftirqd/13
    76 ?        00:00:00 kworker/13:0H
    77 ?        00:00:04 watchdog/14
    78 ?        00:00:02 migration/14
    79 ?        00:00:01 ksoftirqd/14
    81 ?        00:00:00 kworker/14:0H
    82 ?        00:00:04 watchdog/15
    83 ?        00:00:02 migration/15
    84 ?        00:00:01 ksoftirqd/15
    86 ?        00:00:00 kworker/15:0H
    88 ?        00:00:00 kdevtmpfs
    89 ?        00:00:00 netns
    90 ?        00:00:01 khungtaskd
    91 ?        00:00:00 writeback
    92 ?        00:00:00 kintegrityd
    93 ?        00:00:00 bioset
    94 ?        00:00:00 bioset
    95 ?        00:00:00 bioset
    96 ?        00:00:00 kblockd
    97 ?        00:00:00 md
    98 ?        00:00:00 edac-poller
    99 ?        00:00:00 watchdogd
   108 ?        00:00:40 kswapd0
   109 ?        00:00:00 ksmd
   110 ?        00:00:11 khugepaged
   111 ?        00:00:00 crypto
   119 ?        00:00:00 kthrotld
   121 ?        00:00:00 kmpath_rdacd
   122 ?        00:00:00 kaluad
   123 ?        00:00:00 kpsmoused
   125 ?        00:00:00 ipv6_addrconf
   139 ?        00:00:00 deferwq
   185 ?        00:00:17 kauditd
   350 ?        00:00:00 nfit
   363 ?        00:00:00 scsi_eh_0
   364 ?        00:00:00 scsi_tmf_0
   365 ?        00:00:00 ata_sff
   366 ?        00:00:00 bnxt_pf_wq
   367 ?        00:00:00 i40e
   373 ?        00:00:00 scsi_eh_1
   374 ?        00:00:00 scsi_tmf_1
   375 ?        00:00:00 scsi_eh_2
   376 ?        00:00:00 scsi_tmf_2
   377 ?        00:00:00 scsi_eh_3
   378 ?        00:00:00 scsi_tmf_3
   379 ?        00:00:00 scsi_eh_4
   380 ?        00:00:00 scsi_tmf_4
   381 ?        00:00:00 scsi_eh_5
   382 ?        00:00:00 scsi_tmf_5
   383 ?        00:00:00 scsi_eh_6
   384 ?        00:00:00 scsi_tmf_6
   389 ?        00:00:00 ttm_swap
   390 ?        00:00:00 scsi_eh_7
   391 ?        00:00:00 scsi_tmf_7
   392 ?        00:00:00 scsi_eh_8
   393 ?        00:00:00 scsi_tmf_8
   394 ?        00:00:00 scsi_eh_9
   395 ?        00:00:00 scsi_tmf_9
   396 ?        00:00:00 scsi_eh_10
   397 ?        00:00:00 scsi_tmf_10
   398 ?        00:00:00 scsi_eh_11
   399 ?        00:00:00 scsi_tmf_11
   400 ?        00:00:00 scsi_eh_12
   401 ?        00:00:00 scsi_tmf_12
   402 ?        00:00:00 scsi_eh_13
   403 ?        00:00:00 scsi_tmf_13
   404 ?        00:00:00 scsi_eh_14
   405 ?        00:00:00 scsi_tmf_14
   423 ?        00:00:00 poll_megasas0_s
   440 ?        00:00:00 bioset
   441 ?        00:00:00 xfsalloc
   442 ?        00:00:00 xfs_mru_cache
   443 ?        00:00:00 xfs-buf/sda5
   444 ?        00:00:00 xfs-data/sda5
   445 ?        00:00:00 xfs-conv/sda5
   446 ?        00:00:00 xfs-cil/sda5
   447 ?        00:00:00 xfs-reclaim/sda
   448 ?        00:00:00 xfs-log/sda5
   449 ?        00:00:00 xfs-eofblocks/s
   450 ?        00:08:25 xfsaild/sda5
   451 ?        00:00:00 kworker/0:1H
   536 ?        00:23:58 systemd-journal
   571 ?        00:00:00 lvmetad
   581 ?        00:00:12 systemd-udevd
   721 ?        00:00:00 kworker/12:1H
   722 ?        00:00:00 kipmi0
   723 ?        00:00:00 irq/208-mei_me
   737 ?        00:00:00 ib-comp-wq
   738 ?        00:00:00 kworker/u481:0
   739 ?        00:00:00 ib-comp-unb-wq
   740 ?        00:00:00 ib_mcast
   741 ?        00:00:00 ib_nl_sa_wq
   743 ?        00:00:00 bnxt_re
   803 ?        00:00:00 kvm-irqfd-clean
   977 ?        00:00:00 xfs-buf/sda1
   978 ?        00:00:00 xfs-data/sda1
   979 ?        00:00:00 xfs-conv/sda1
   980 ?        00:00:00 xfs-cil/sda1
   981 ?        00:00:00 xfs-reclaim/sda
   982 ?        00:00:00 xfs-log/sda1
   983 ?        00:00:00 xfs-eofblocks/s
   984 ?        00:00:00 xfs-buf/sda2
   985 ?        00:00:00 xfs-data/sda2
   986 ?        00:00:00 xfs-conv/sda2
   987 ?        00:00:00 xfs-cil/sda2
   988 ?        00:00:00 xfs-reclaim/sda
   989 ?        00:00:00 xfs-log/sda2
   990 ?        00:00:00 xfs-eofblocks/s
   998 ?        00:00:00 xfsaild/sda2
  1000 ?        00:00:00 xfsaild/sda1
  1036 ?        00:01:18 jbd2/sdb-8
  1038 ?        00:00:00 ext4-rsv-conver
  1414 ?        00:00:00 iwewq
  1416 ?        00:00:00 iwdwq
  1417 ?        00:00:00 iwewq
  1423 ?        00:00:00 iwdwq
  1448 ?        00:00:00 rdma_cm
  1476 ?        00:00:00 iwvch
  1477 ?        00:00:00 iwvch
  1478 ?        00:00:00 l2params
  1479 ?        00:00:00 l2params
  1481 ?        00:00:00 rdma-ndd
  1485 ?        00:00:00 srp_remove
  1491 ?        00:00:00 iscsi_eh
  1495 ?        00:00:00 target_completi
  1496 ?        00:00:00 tmr-rd_mcp
  1497 ?        00:00:00 xcopy_wq
  1505 ?        00:00:00 rpciod
  1506 ?        00:00:00 xprtiod
  1511 ?        00:00:00 xprtrdma_receiv
  1518 ?        00:01:21 auditd
  1521 ?        00:01:23 audispd
  1524 ?        00:00:50 sedispatch
  1560 ?        00:00:02 rpcbind
  1561 ?        00:02:29 systemd-machine
  1562 ?        00:00:04 smartd
  1563 ?        00:07:00 udisksd
  1565 ?        21:06:52 avahi-daemon
  1566 ?        00:21:32 systemd-logind
  1567 ?        00:01:36 abrtd
  1568 ?        00:00:49 abrt-watch-log
  1569 ?        00:49:28 polkitd
  1575 ?        01:08:15 accounts-daemon
  1580 ?        00:00:00 abrt-watch-log
  1581 ?        01:02:26 dbus-daemon
  1589 ?        00:00:00 avahi-daemon
  1606 ?        00:00:29 rtkit-daemon
  1607 ?        00:12:23 irqbalance
  1608 ?        00:00:04 lsmd
  1610 ?        00:06:44 rngd
  1612 ?        00:02:45 ModemManager
  1624 ?        00:02:33 firewalld
  1635 ?        00:01:22 ksmtuned
  1640 ?        00:00:01 gssproxy
  1694 ?        01:54:28 NetworkManager
